,fullName,activities
309,National Parks of New York Harbor,"Arts and Culture, Cultural Demonstrations, Live Music, Theater, Astronomy, Stargazing, Biking, Road Biking, Boating, Boat Tour, Camping, Fishing, Saltwater Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Boat Tour, Hands-On, Citizen Science, Arts and Crafts, Hiking, Living History, Paddling, Kayaking, Junior Ranger Program, Surfing, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
310,Natural Bridges National Monument,"Astronomy, Stargazing, Camping, Hiking, Junior Ranger Program, Park Film, Shopping, Bookstore and Park Store"
311,Navajo National Monument,"Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Camping, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Junior Ranger Program, Shopping, Bookstore and Park Store"
312,New Bedford Whaling National Historical Park,"Food, Guided Tours, Self-Guided Tours - Walking, Living History, First Person Interpretation, Junior Ranger Program, Museum Exhibits"
313,New England National Scenic Trail,"Camping, Backcountry Camping, Food, Dining, Hiking, Backcountry Hiking, Front-Country Hiking, Snowshoeing"
314,New Jersey Pinelands National Reserve,
315,New Orleans Jazz National Historical Park,"Arts and Culture, Live Music, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program"
316,New River Gorge National Park and Preserve,"Arts and Culture, Theater, Auto and ATV, Scenic Driving, Astronomy, Biking, Mountain Biking, Road Biking, Boating, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Climbing, Rock Climbing, Fishing, Freshwater Fishing, Fly Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Whitewater Rafting, Junior Ranger Program, Playground, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
317,Nez Perce National Historical Park,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Horse Trekking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
318,Nicodemus National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Junior Ranger Program, Playground"
319,Ninety Six National Historic Site,"Fishing, Freshwater Fishing, Guided Tours, Self-Guided Tours - Walking, Horse Trekking, Horseback Riding, Living History, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
320,Niobrara National Scenic River,"Astronomy, Stargazing, Biking, Camping, Fishing, Guided Tours, Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Tubing, River Tubing, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
321,Noatak National Preserve,"Boating, Camping, Backcountry Camping, Fishing, Freshwater Fishing, Flying, Fixed Wing Flying, Hands-On, Arts and Crafts, Hiking, Backcountry Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Junior Ranger Program, Wildlife Watching, Museum Exhibits"
322,North Cascades National Park,"Auto and ATV, Scenic Driving, Biking, Road Biking, Boating, Motorized Boating, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Climbing, Rock Climbing, Fishing, Guided Tours, Bus/Shuttle Guided Tour, Hands-On, Citizen Science, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Paddling, Canoe or Kayak Camping, Junior Ranger Program, Shopping, Bookstore and Park Store"
323,North Country National Scenic Trail,"Biking, Mountain Biking, Camping, Backcountry Camping, Guided Tours, Self-Guided Tours - Walking, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Shopping, Gift Shop and Souvenirs"
324,Obed Wild & Scenic River,"Astronomy, Stargazing, Camping, Climbing, Rock Climbing, Fishing, Freshwater Fishing, Hiking, Hunting and Gathering, Paddling, Canoe or Kayak Camping, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film"
325,Ocmulgee Mounds National Historical Park,"Biking, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Gift Shop and Souvenirs"
326,Oklahoma City National Memorial,"Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program"
327,Old Spanish National Historic Trail,"Arts and Culture, Theater, Auto and ATV, Scenic Driving, Hiking, Horse Trekking"
328,Olympic National Park,"Astronomy, Stargazing, Biking, Road Biking, Boating, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Climbing, Mountain Climbing, Fishing, Freshwater Fishing, Fly Fishing, Saltwater Fishing, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Auto, Hands-On, Citizen Science, Arts and Crafts, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horse Camping (see also camping), Paddling, Canoeing, Kayaking, Junior Ranger Program, Tubing, Snow Tubing, Skiing, Cross-Country Skiing, Downhill Skiing, Snow Play, Snowshoeing, Surfing, Swimming, Pool Swimming, Freshwater Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
329,Oregon Caves National Monument & Preserve,"Camping, Car or Front Country Camping, RV Camping, Caving, Food, Dining, Picnicking, Guided Tours, Hands-On, Citizen Science, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Hunting and Gathering, Hunting, Junior Ranger Program, Swimming, Freshwater Swimming, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
330,Oregon National Historic Trail,"Auto and ATV, Scenic Driving, Guided Tours, Self-Guided Tours - Auto, Hiking, Horse Trekking, Horseback Riding, Museum Exhibits"
331,Organ Pipe Cactus National Monument,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
332,Overmountain Victory National Historic Trail,"Guided Tours, Self-Guided Tours - Auto, Hiking, Front-Country Hiking"
333,Oxon Cove Park & Oxon Hill Farm,"Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
334,Ozark National Scenic Riverways,"Auto and ATV, Scenic Driving, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Caving, Fishing, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Backcountry Hiking, Front-Country Hiking, Hunting and Gathering, Gathering and Foraging, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Tubing, River Tubing, Wildlife Watching, Park Film"
335,Padre Island National Seashore,"Arts and Culture, Auto and ATV, Biking, Boating, Camping, Fishing, Paddling, Canoeing, Kayaking, Junior Ranger Program, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
336,Palo Alto Battlefield National Historical Park,"Arts and Culture, Cultural Demonstrations, Biking, Road Biking, Guided Tours, Self-Guided Tours - Walking, Hiking, Living History, Historic Weapons Demonstration, First Person Interpretation, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
337,Paterson Great Falls National Historical Park,"Arts and Culture, Cultural Demonstrations, Food, Dining, Guided Tours, Junior Ranger Program"
338,Pea Ridge National Military Park,"Biking, Road Biking, Guided Tours, Self-Guided Tours - Auto, Hiking, Horse Trekking, Horseback Riding, Living History, Historic Weapons Demonstration, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
339,Pearl Harbor National Memorial,"Guided Tours, Self-Guided Tours - Auto, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
340,Pecos National Historical Park,"Arts and Culture, Cultural Demonstrations, Fishing, Fly Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Living History, Junior Ranger Program, Shopping, Bookstore and Park Store"
341,Pennsylvania Avenue,"Guided Tours, Junior Ranger Program"
342,Perry's Victory & International Peace Memorial,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Astronomy, Stargazing, Biking, Boating, Fishing, Freshwater Fishing, Living History, Historic Weapons Demonstration, First Person Interpretation, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits"
343,Petersburg National Battlefield,"Auto and ATV, Scenic Driving, Biking, Mountain Biking, Road Biking, Fishing, Freshwater Fishing, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Shopping, Bookstore and Park Store"
344,Petrified Forest National Park,"Arts and Culture, Cultural Demonstrations, Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Horse Camping (see also Horse/Stock Use), Compass and GPS, Geocaching, Orienteering, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hands-On, Citizen Science, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
345,Petroglyph National Monument,"Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
346,Pictured Rocks National Lakeshore,"Auto and ATV, Scenic Driving, Biking, Road Biking, Boating, Motorized Boating, Jet Skiing, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Group Camping, RV Camping, Climbing, Ice Climbing, Fishing, Freshwater Fishing, Fly Fishing, Food, Dining, Guided Tours, Self-Guided Tours - Walking, Boat Tour, Hands-On, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, SCUBA Diving, Skiing, Cross-Country Skiing, Snowmobiling, Snowshoeing, Swimming, Freshwater Swimming, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
347,Pinnacles National Park,"Astronomy, Stargazing, Biking, Road Biking, Camping, Car or Front Country Camping, Group Camping, RV Camping, Caving, Climbing, Rock Climbing, Food, Picnicking, Hands-On, Citizen Science, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
348,Pipe Spring National Monument,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Astronomy, Stargazing, Camping, Car or Front Country Camping, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Arts and Crafts, Hiking, Front-Country Hiking, Living History, Junior Ranger Program, Park Film, Shopping, Bookstore and Park Store"
349,Pipestone National Monument,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Gift Shop and Souvenirs"
350,Piscataway Park,"Boating, Fishing"
351,Point Reyes National Seashore,"Biking, Camping, Backcountry Camping, Canoe or Kayak Camping, Fishing, Food, Picnicking, Guided Tours, Hiking, Horse Trekking, Horseback Riding, Paddling, Kayaking, Junior Ranger Program, Wildlife Watching, Park Film, Shopping, Bookstore and Park Store"
352,Pony Express National Historic Trail,"Auto and ATV, Scenic Driving, Guided Tours, Self-Guided Tours - Auto, Hiking, Horse Trekking, Horseback Riding, Living History, Reenactments, Museum Exhibits"
353,Port Chicago Naval Magazine National Memorial,"Guided Tours, Park Film"
354,Potomac Heritage National Scenic Trail,"Biking, Mountain Biking, Road Biking, Boating, Motorized Boating, Sailing, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, Fishing, Freshwater Fishing, Fly Fishing, Saltwater Fishing, Food, Guided Tours, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Living History, First Person Interpretation, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Stand Up Paddleboarding, Whitewater Rafting, Museum Exhibits, Shopping, Bookstore and Park Store"
355,Poverty Point National Monument,"Guided Tours, Self-Guided Tours - Walking, Hiking, Museum Exhibits"
356,President William Jefferson Clinton Birthplace Home National Historic Site,"Biking, Road Biking, Food, Picnicking, Guided Tours, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
357,President's Park (White House),"Arts and Culture, Live Music, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
358,Presidio of San Francisco,"Arts and Culture, Biking, Golfing, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Wildlife Watching, Birdwatching, Museum Exhibits"
359,Prince William Forest Park,"Arts and Culture, Biking, Mountain Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Compass and GPS, Orienteering, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Hunting and Gathering, Junior Ranger Program, Playground, Wildlife Watching, Park Film, Shopping, Bookstore and Park Store"
360,Pu`ukoholā Heiau National Historic Site,"Arts and Culture, Craft Demonstrations, Fishing, Saltwater Fishing, Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
361,Pullman National Monument,"Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Park Film, Museum Exhibits, Shopping, Gift Shop and Souvenirs"
362,Puʻuhonua o Hōnaunau National Historical Park,"Arts and Culture, Cultural Demonstrations, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Junior Ranger Program, Snorkeling, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
363,Rainbow Bridge National Monument,"Boating, Boat Tour, Guided Tours, Boat Tour, Hiking, Junior Ranger Program"
364,Reconstruction Era National Historical Park,"Guided Tours, Shopping, Bookstore and Park Store"
365,Redwood National and State Parks,"Arts and Culture, Cultural Demonstrations, Auto and ATV, Scenic Driving, Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Paddling, Kayaking, Junior Ranger Program, Tubing, River Tubing, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
366,Richmond National Battlefield Park,"Guided Tours, Self-Guided Tours - Walking, Hiking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
367,Rio Grande Wild & Scenic River,"Boating, Boat Tour, Camping, Backcountry Camping, Canoe or Kayak Camping, Fishing, Food, Dining, Hiking, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Wildlife Watching, Birdwatching"
368,River Raisin National Battlefield Park,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Theater, Auto and ATV, Scenic Driving, Biking, Road Biking, Compass and GPS, Geocaching, Fishing, Freshwater Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hands-On, Citizen Science, Arts and Crafts, Volunteer Vacation, Hiking, Front-Country Hiking, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Paddling, Canoeing, Kayaking, Junior Ranger Program, Team Sports, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
369,Rock Creek Park,"Arts and Culture, Live Music, Auto and ATV, Scenic Driving, Astronomy, Planetarium, Stargazing, Biking, Fishing, Food, Picnicking, Golfing, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Playground, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
370,Rocky Mountain National Park,"Arts and Culture, Auto and ATV, Scenic Driving, Astronomy, Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Climbing, Fishing, Food, Picnicking, Hands-On, Citizen Science, Volunteer Vacation, Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Tubing, Snow Tubing, Skiing, Cross-Country Skiing, Downhill Skiing, Snow Play, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
371,Roger Williams National Memorial,"Arts and Culture, Cultural Demonstrations, Live Music, Food, Guided Tours, Self-Guided Tours - Walking, Living History, First Person Interpretation, Junior Ranger Program, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
372,Roosevelt Campobello International Park,Museum Exhibits
373,Rosie the Riveter WWII Home Front National Historical Park,"Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Living History, Park Film, Museum Exhibits"
374,Russell Cave National Monument,"Guided Tours, Hiking, Front-Country Hiking, Living History, Historic Weapons Demonstration, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store"
375,Sagamore Hill National Historic Site,"Arts and Culture, Craft Demonstrations, Live Music, Astronomy, Biking, Road Biking, Compass and GPS, Geocaching, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Arts and Crafts, Hiking, Front-Country Hiking, Living History, Reenactments, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
376,Saguaro National Park,"Arts and Culture, Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Guided Tours, Hiking, Backcountry Hiking, Junior Ranger Program"
377,Saint Croix Island International Historic Site,"Paddling, Junior Ranger Program, Wildlife Watching"
378,Saint Croix National Scenic Riverway,"Boating, Motorized Boating, Camping, Canoe or Kayak Camping, Fishing, Freshwater Fishing, Fly Fishing, Hands-On, Citizen Science, Hiking, Hunting and Gathering, Hunting, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Tubing, Wildlife Watching, Birdwatching, Park Film"
379,Saint Paul's Church National Historic Site,"Arts and Culture, Live Music, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Arts and Crafts, Museum Exhibits"
380,Saint-Gaudens National Historical Park,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Theater, Astronomy, Stargazing, Boating, Compass and GPS, Geocaching, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Citizen Science, Arts and Crafts, Hiking, Paddling, Canoe or Kayak Camping, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
381,Salem Maritime National Historic Site,"Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Junior Ranger Program, Museum Exhibits"
382,Salinas Pueblo Missions National Monument,"Astronomy, Stargazing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Front-Country Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
383,Salt River Bay National Historical Park and Ecological Preserve,"Paddling, Kayaking, SCUBA Diving, Snorkeling, Swimming, Saltwater Swimming, Museum Exhibits"
384,San Antonio Missions National Historical Park,"Arts and Culture, Biking, Road Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hands-On, Citizen Science, Arts and Crafts, Paddling, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
385,San Francisco Maritime National Historical Park,"Arts and Culture, Live Music, Boating, Sailing, Boat Tour, Guided Tours, Self-Guided Tours - Walking, Boat Tour, Hands-On, Arts and Crafts, Living History, First Person Interpretation, Junior Ranger Program, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
386,San Juan Island National Historical Park,"Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Living History, Reenactments, Historic Weapons Demonstration, First Person Interpretation, Paddling, Kayaking, Junior Ranger Program, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
387,San Juan National Historic Site,"Arts and Culture, Food, Picnicking, Guided Tours, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
388,Sand Creek Massacre National Historic Site,"Guided Tours, Hiking, Wildlife Watching, Birdwatching, Shopping, Bookstore and Park Store"
389,Santa Fe National Historic Trail,"Arts and Culture, Theater, Auto and ATV, Scenic Driving, Guided Tours, Self-Guided Tours - Auto, Hiking, Junior Ranger Program, Museum Exhibits"
390,Santa Monica Mountains National Recreation Area,"Biking, Mountain Biking, Camping, Car or Front Country Camping, Climbing, Rock Climbing, Compass and GPS, Geocaching, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Shopping, Bookstore and Park Store"
391,Saratoga National Historical Park,"Arts and Culture, Craft Demonstrations, Cultural Demonstrations, Live Music, Auto and ATV, Scenic Driving, Biking, Road Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Tubing, Snow Tubing, Skiing, Cross-Country Skiing, Snow Play, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
392,Saugus Iron Works National Historic Site,"Guided Tours, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
393,Scotts Bluff National Monument,"Arts and Culture, Cultural Demonstrations, Hiking, Living History"
394,Selma To Montgomery National Historic Trail,"Guided Tours, Self-Guided Tours - Walking, Hands-On, Volunteer Vacation, Junior Ranger Program, Park Film, Museum Exhibits"
395,Sequoia & Kings Canyon National Parks,"Auto and ATV, Scenic Driving, Astronomy, Stargazing, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Caving, Climbing, Rock Climbing, Fishing, Freshwater Fishing, Fly Fishing, Food, Dining, Picnicking, Guided Tours, Hands-On, Citizen Science, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
396,Shenandoah National Park,"Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Climbing, Rock Climbing, Fishing, Food, Dining, Picnicking, Hands-On, Citizen Science, Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
397,Shiloh National Military Park,"Arts and Culture, Cultural Demonstrations, Auto and ATV, Scenic Driving, Biking, Road Biking, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Living History, Historic Weapons Demonstration, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
398,Sitka National Historical Park,"Arts and Culture, Craft Demonstrations, Fishing, Food, Picnicking, Guided Tours, Hands-On, Citizen Science, Hiking, Hunting and Gathering, Gathering and Foraging, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits"
399,Sleeping Bear Dunes National Lakeshore,"Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Group Camping, Fishing, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Hunting and Gathering, Hunting, Paddling, Junior Ranger Program, Tubing, River Tubing, Skiing, Cross-Country Skiing, Snowshoeing, Swimming, Freshwater Swimming"
400,Springfield Armory National Historic Site,"Cultural Demonstrations, Guided Tours, Historic Weapons Demonstration, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
401,Star-Spangled Banner National Historic Trail,"Arts and Culture, Biking, Mountain Biking, Road Biking, Boating, Camping, Compass and GPS, Geocaching, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Front-Country Hiking, Living History, Reenactments, Paddling, Canoeing, Kayaking, Junior Ranger Program, Museum Exhibits"
402,Statue Of Liberty National Monument,"Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
403,Ste. Geneviève National Historical Park,"Arts and Culture, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Museum Exhibits"
404,Steamtown National Historic Site,"Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hands-On, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
405,Stones River National Battlefield,"Arts and Culture, Cultural Demonstrations, Theater, Biking, Road Biking, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hands-On, Arts and Crafts, Hiking, Living History, Historic Weapons Demonstration, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
406,Stonewall National Monument,"Guided Tours, Self-Guided Tours - Walking, Museum Exhibits"
407,Sunset Crater Volcano National Monument,"Astronomy, Stargazing, Guided Tours, Self-Guided Tours - Walking, Junior Ranger Program, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
